table,prisma_model,mapped_table,primary_key,fields,unique_indexes,indexes,relations,used_in_files,common_queries,where_filters,notes
users,User,users,id,id; name; email; role; image; is_active; createdAt; updatedAt,email,-,one studentProfile; one teacherProfile; many batches; many enquiries; many noticesCreated; many teacherFeeSheetsAsTeacher; many teacherFeeSheetsCreated,app/api/students/route.ts; app/api/teachers/route.ts; app/api/receptionists/route.ts; app/api/admin/analytics/route.ts; app/api/teacher-fee-sheets/route.ts; app/api/notices/route.ts,findUnique; findMany; create; update; delete; count,email; id; role; is_active,Core identity table. App does not store password_hash in Prisma schema because auth is handled by Supabase.
student_profiles,StudentProfile,student_profiles,id,id; userId; gender; dob; fatherName; motherName; parentMobile; permanentAddress; correspondenceAddress; aadharNo; nationality; transport_facility; pickup_location; terms_accepted; declaration_accepted; age; phone; board; class_level; stream; aspirant_of; competitive_exams; service_type; subjects; chosen_courses; source_of_enquiry,userId,-,belongs to one User; has many admissions; payments; results; examScores; academicRecords; attendances; noticeRecipients; subscriptions; teacherFeeSheetRows,app/api/students/route.ts; app/api/students/[studentId]/route.ts; app/api/fees/route.ts; app/api/fees/pending/route.ts; app/api/fees/pending/bulk/route.ts; app/api/payments/route.ts; app/api/student/*; app/api/notices/route.ts; app/api/admin/analytics/route.ts; app/api/teacher-fee-sheets/route.ts,findUnique; findMany; create; delete,id; userId; class_level; service_type; batch membership through admissions,This is the student master profile and the anchor for most student-facing workflows.
academic_records,AcademicRecord,academic_records,id,id; studentId; qualification; exam; year; institution; percentage,-,-,belongs to one StudentProfile,not found in current app API usage,-,studentId,Defined in schema but appears unused in current runtime.
teacher_profiles,TeacherProfile,teacher_profiles,id,id; userId; qualifications; experience_years; subjects_specialization,userId,-,belongs to one User,prisma/seed.ts,upsert,userId,Mostly setup/seed data; runtime app relies on User plus role.
enquiries,Enquiry,enquiries,id,id; name; phone; email; class_level; subjects; service_type; status; follow_up_date; lost_reason; assigned_counselor_id; createdAt; updatedAt,-,-,optional assignedCounselor User,app/api/admin/analytics/route.ts; app/api/enquiry/[id]/route.ts; app/api/notices/route.ts; app/api/students/route.ts,count; findMany; findUnique; update; groupBy,status; follow_up_date; createdAt; assigned_counselor_id; lost_reason,Used for lead tracking and follow-up analytics.
batches,Batch,batches,id,id; name; subject; classLevel; board; teacherId; schedule; capacity; isActive; createdAt; updatedAt; startDate; endDate; feeModel; feeAmount; installments; daysWiseFeesEnabled; daysWiseFees,-,-,belongs to one teacher User; has many admissions; exams; attendances; notices; teacherFeeSheets,app/api/batches/route.ts; app/api/batches/[id]/students/route.ts; app/api/batches/[id]/analytics/route.ts; app/api/attendance/route.ts; app/api/attendance/history/route.ts; app/api/exams/route.ts; app/api/teacher/batches/route.ts; app/api/teacher/payroll/route.ts; app/api/teacher/exam/page.tsx; app/api/notices/route.ts; app/api/teacher-fee-sheets/route.ts,findMany; findUnique; findFirst; create; update,id; teacherId; isActive; classLevel; subject,"Important hub table linking teachers, admissions, exams, notices, attendance, and payroll."
admissions,Admission,admissions,id,id; studentId; batchId; admission_date; total_fees; admission_charge; admission_charge_pending; fees_pending; selectedDays; createdAt; updatedAt; endDate; status; admission_in_charge; discount_value; discount_type,-,-,belongs to one StudentProfile; optional Batch; has many payments; has many teacherFeeSheetRows,app/api/admissions/route.ts; app/api/admissions/[id]/route.ts; app/api/fees/route.ts; app/api/fees/pending/route.ts; app/api/fees/pending/bulk/route.ts; app/api/fees/remind/route.ts; app/api/payments/route.ts; app/api/payments/admission-charge/route.ts; app/api/payments/bulk/route.ts; app/api/student/dashboard/route.ts; app/api/student/payments/route.ts; app/api/teacher/students/route.ts; app/api/teacher-fee-sheets/route.ts; app/api/admin/analytics/route.ts; app/api/analytics/student/[studentId]/route.ts,create; findUnique; findFirst; findMany; update; updateMany; aggregate,id; studentId; batchId; status; fees_pending; date-based fee windows,This is the main operational fee/enrollment table.
payments,Payment,payments,id,id; studentId; admissionId; amount; date; mode; receipt_no; createdAt; coveredMonths; coveredFromDate; coveredToDate; notes,receipt_no,-,belongs to one StudentProfile; optional Admission,app/api/payments/route.ts; app/api/payments/bulk/route.ts; app/api/payments/admission-charge/route.ts; app/api/student/payments/route.ts; app/api/teacher-fee-sheets/route.ts; app/api/admin/analytics/route.ts; app/api/fees/route.ts,findMany; findUnique; create; update; delete; aggregate,id; receipt_no; studentId; admissionId; date range; coveredMonths,"Used for receipt tracking, fee balance updates, and revenue analytics."
teacher_fee_sheets,TeacherFeeSheet,teacher_fee_sheets,id,id; month; batchId; teacherId; createdById; totalReceived; totalDeductions; totalTeacherAmount; createdAt; updatedAt,month + batchId,teacherId + month,belongs to Batch; teacher User; createdBy User; has many rows,app/api/teacher-fee-sheets/route.ts; app/api/teacher/payroll/route.ts,findMany; findUnique; create; upsert,month; batchId; teacherId,Monthly summary table for teacher payroll and batch collections.
teacher_fee_sheet_rows,TeacherFeeSheetRow,teacher_fee_sheet_rows,id,id; sheetId; studentId; admissionId; studentName; totalReceived; fivePointFees; developmentFees; discount; teacherAmount; createdAt; updatedAt,notice: unique not defined,sheetId; admissionId,belongs to one TeacherFeeSheet; optional StudentProfile; optional Admission,app/api/teacher-fee-sheets/route.ts,create; findMany; findUnique,sheetId; admissionId,Row-level detail under a teacher fee sheet.
